id,title,bibtex_id,url,type,doi,is_relevant,source,year
384,"Thrilled by Your Progress! Large Language Models (GPT-4) No Longer
  Struggle to Pass Assessments in Higher Education Programming Courses",,http://arxiv.org/pdf/2306.10073v1.pdf,,10.1145/3568813.3600142,,"arxiv, acm, web_of_science",2023
385,Performance of Distributed Deep Learning Workloads on a Composable Cyberinfrastructure,,https://doi.org/10.1145/3569951.3593601,,10.1145/3569951.3593601,,acm,2023
386,FlashFill++: Scaling Programming by Example by Cutting to the Chase,,https://doi.org/10.1145/3571226,,10.1145/3571226,,acm,2023
387,Programming by Voice: Exploring User Preferences and Speaking Styles,,https://doi.org/10.1145/3571884.3597130,,10.1145/3571884.3597130,,acm,2023
388,The User Experience of ChatGPT: Findings from a Questionnaire Study of Early Users,,https://doi.org/10.1145/3571884.3597144,,10.1145/3571884.3597144,,acm,2023
389,Deceptive AI Ecosystems: The Case of ChatGPT,,https://doi.org/10.1145/3571884.3603754,,10.1145/3571884.3603754,,acm,2023
390,Generative AI Considered Harmful,,https://doi.org/10.1145/3571884.3603756,,10.1145/3571884.3603756,,acm,2023
391,"Opening up ChatGPT: Tracking openness, transparency, and accountability in instruction-tuned text generators",,https://doi.org/10.1145/3571884.3604316,,10.1145/3571884.3604316,,acm,2023
392,High-Resolution Course Feedback: Timely Feedback Mechanism for Instructors,,https://doi.org/10.1145/3573051.3593391,,10.1145/3573051.3593391,,acm,2023
393,GPTeach: Interactive TA Training with GPT-based Students,,https://doi.org/10.1145/3573051.3593393,,10.1145/3573051.3593393,,acm,2023
394,Utilizing Neural Network to Predict Students Aptitudes for Teaching Assistant Roles,,https://doi.org/10.1145/3573051.3596168,,10.1145/3573051.3596168,,acm,2023
395,Educator and Student Perspectives on the Impact of Generative AI on Assessments in Higher Education,,https://doi.org/10.1145/3573051.3596191,,10.1145/3573051.3596191,,acm,2023
396,Computational Linguistics Finds its Voice,,https://doi.org/10.1145/3575666,,10.1145/3575666,,acm,2023
397,Optimus-CC: Efficient Large NLP Model Training with 3D Parallelism Aware Communication Compression,,https://doi.org/10.1145/3575693.3575712,,10.1145/3575693.3575712,,acm,2023
398,A Knowledge Graph Question Answering Approach to IoT Forensics,,https://doi.org/10.1145/3576842.3589161,,10.1145/3576842.3589161,,acm,2023
399,Always Provide Context: The Effects of Code Context on Programming Error Message Enhancement,,https://doi.org/10.1145/3576882.3617909,,10.1145/3576882.3617909,,acm,2023
400,A Bug's New Life: Creating Refute Questions from Filtered CS1 Student Code Snapshots,,https://doi.org/10.1145/3576882.3617916,,10.1145/3576882.3617916,,acm,2023
401,Generating Programs Trivially: Student Use of Large Language Models,,https://doi.org/10.1145/3576882.3617921,,10.1145/3576882.3617921,,acm,2023
402,A Computational Inflection for Scientific Discovery,,https://doi.org/10.1145/3576896,,10.1145/3576896,,acm,2023
403,Recording multimodal pair-programming dialogue for reference resolution by conversational agents,,https://doi.org/10.1145/3577190.3614231,,10.1145/3577190.3614231,,acm,2023
404,Large Language Models to generate meaningful feature model instances,,https://doi.org/10.1145/3579027.3608973,,10.1145/3579027.3608973,,acm,2023
405,Generative AI for Reengineering Variants into Software Product Lines: An Experience Report,,https://doi.org/10.1145/3579028.3609016,,10.1145/3579028.3609016,,acm,2023
406,MASCARA : Systematically Generating Memorable And Secure Passphrases,,https://doi.org/10.1145/3579856.3582839,,10.1145/3579856.3582839,,acm,2023
407,Powering an AI Chatbot with Expert Sourcing to Support Credible Health Information Access,,https://doi.org/10.1145/3581641.3584031,,10.1145/3581641.3584031,,acm,2023
408,Scim: Intelligent Skimming Support for Scientific Papers,,https://doi.org/10.1145/3581641.3584034,,10.1145/3581641.3584034,,acm,2023
409,Scaffolding CS1 Courses with a Large Language Model-Powered Intelligent Tutoring System,,https://doi.org/10.1145/3581754.3584111,,10.1145/3581754.3584111,,acm,2023
410,Zero-TextCap: Zero-shot Framework for Text-based Image Captioning,,https://doi.org/10.1145/3581783.3612571,,10.1145/3581783.3612571,,acm,2023
411,A Hierarchical Deep Video Understanding Method with Shot-Based Instance Search and Large Language Model,,https://doi.org/10.1145/3581783.3612838,,10.1145/3581783.3612838,,acm,2023
412,VENOM: A Vectorized N:M Format for Unleashing the Power of Sparse Tensor Cores,,https://doi.org/10.1145/3581784.3607087,,10.1145/3581784.3607087,,acm,2023
413,FORGE: Pre-Training Open Foundation Models for Science,,https://doi.org/10.1145/3581784.3613215,,10.1145/3581784.3613215,,acm,2023
414,The Social Impact of Generative AI: An Analysis on ChatGPT,,https://doi.org/10.1145/3582515.3609555,,10.1145/3582515.3609555,,acm,2023
415,Data Discovery for the SDGs: A Systematic Rule-based Approach,,https://doi.org/10.1145/3582515.3609557,,10.1145/3582515.3609557,,acm,2023
416,Hallucination Detection: Robustly Discerning Reliable Answers in Large Language Models,,https://doi.org/10.1145/3583780.3614905,,10.1145/3583780.3614905,,acm,2023
417,SANN: Programming Code Representation Using Attention Neural Network with Optimized Subtree Extraction,,https://doi.org/10.1145/3583780.3615047,,10.1145/3583780.3615047,,acm,2023
418,DynamicESG: A Dataset for Dynamically Unearthing ESG Ratings from News Articles,,https://doi.org/10.1145/3583780.3615118,,10.1145/3583780.3615118,,acm,2023
419,Assessing Student Performance with Multi-granularity Attention from Online Classroom Dialogue,,https://doi.org/10.1145/3583780.3615143,,10.1145/3583780.3615143,,acm,2023
420,Workshop on Enterprise Knowledge Graphs using Large Language Models,,https://doi.org/10.1145/3583780.3615301,,10.1145/3583780.3615301,,acm,2023
421,Continually-Adaptive Representation Learning Framework for Time-Sensitive Healthcare Applications,,https://doi.org/10.1145/3583780.3615464,,10.1145/3583780.3615464,,acm,2023
422,Ethics of Emerging Communication and Collaboration Technologies for Children,,https://doi.org/10.1145/3584931.3606957,,10.1145/3584931.3606957,,acm,2023
423,Visualizing the Carbon Intensity of Machine Learning Inference for Image Analysis on TensorFlow Hub,,https://doi.org/10.1145/3584931.3606959,,10.1145/3584931.3606959,,acm,2023
424,Toward Value Scenario Generation Through Large Language Models,,https://doi.org/10.1145/3584931.3606960,,10.1145/3584931.3606960,,acm,2023
425,NBGuru: Generating Explorable Data Science Flowcharts to Facilitate Asynchronous Communication in Interdisciplinary Data Science Teams,,https://doi.org/10.1145/3584931.3607020,,10.1145/3584931.3607020,,acm,2023
426,ReaderQuizzer: Augmenting Research Papers with Just-In-Time Learning Questions to Facilitate Deeper Understanding,,https://doi.org/10.1145/3584931.3607494,,10.1145/3584931.3607494,,acm,2023
427,LLMs and the Infrastructure of CSCW,,https://doi.org/10.1145/3584931.3608438,,10.1145/3584931.3608438,,acm,2023
428,Teaching IT Software Fundamentals: Strategies and Techniques for Inclusion of Large Language Models: Strategies and Techniques for Inclusion of Large Language Models,,https://doi.org/10.1145/3585059.3611409,,10.1145/3585059.3611409,,acm,2023
429,Harnessing the Disruption of New Technologies to Maintain Effective Assessment Strategies in Information Technology Education,,https://doi.org/10.1145/3585059.3611413,,10.1145/3585059.3611413,,acm,2023
430,"ChatGPT for Teaching and Learning: An Experience from Data Science
  Education",,http://arxiv.org/pdf/2307.16650v1.pdf,,10.1145/3585059.3611431,,"arxiv, acm",2023
431,Exploring the Role of ChatGPT in Education: Applications and Challenges,,https://doi.org/10.1145/3585059.3611445,,10.1145/3585059.3611445,,acm,2023
432,Design implications of generative AI systems for visual storytelling for young learners,,https://doi.org/10.1145/3585088.3593867,,10.1145/3585088.3593867,,acm,2023
433,Democratizing Content Creation and Consumption through Human-AI Copilot Systems,,https://doi.org/10.1145/3586182.3616707,,10.1145/3586182.3616707,,acm,2023
434,Smart-Pikachu: Extending Interactivity of Stuffed Animals with Large Language Models,,https://doi.org/10.1145/3586182.3625219,,10.1145/3586182.3625219,,acm,2023
435,Spellburst: A Node-based Interface for Exploratory Creative Coding with Natural Language Prompts,,https://doi.org/10.1145/3586183.3606719,,10.1145/3586183.3606719,,acm,2023
436,GenAssist: Making Image Generation Accessible,,https://doi.org/10.1145/3586183.3606735,,10.1145/3586183.3606735,,acm,2023
437,Graphologue: Exploring Large Language Model Responses with Interactive Diagrams,,https://doi.org/10.1145/3586183.3606737,,10.1145/3586183.3606737,,acm,2023
438,From Gap to Synergy: Enhancing Contextual Understanding through Human-Machine Collaboration in Personalized Systems,,https://doi.org/10.1145/3586183.3606741,,10.1145/3586183.3606741,,acm,2023
439,Statslator: Interactive Translation of NHST and Estimation Statistics Reporting Styles in Scientific Documents,,https://doi.org/10.1145/3586183.3606762,,10.1145/3586183.3606762,,acm,2023
440,Generative Agents: Interactive Simulacra of Human Behavior,,https://doi.org/10.1145/3586183.3606763,,10.1145/3586183.3606763,,acm,2023
441,VISAR: A Human-AI Argumentative Writing Assistant with Visual Programming and Rapid Draft Prototyping,,https://doi.org/10.1145/3586183.3606800,,10.1145/3586183.3606800,,acm,2023
442,Odyssey: An Interactive Workbench for Expert-Driven Floating-Point Expression Rewriting,,https://doi.org/10.1145/3586183.3606819,,10.1145/3586183.3606819,,acm,2023
443,Augmented Math: Authoring AR-Based Explorable Explanations by Augmenting Static Math Textbooks,,https://doi.org/10.1145/3586183.3606827,,10.1145/3586183.3606827,,acm,2023
444,"Cells, Generators, and Lenses: Design Framework for Object-Oriented Interaction with Large Language Models",,https://doi.org/10.1145/3586183.3606833,,10.1145/3586183.3606833,,acm,2023
445,Chat Overflow: Artificially Intelligent Models for Computing Education - renAIssance or apocAIypse?,,https://doi.org/10.1145/3587102.3588773,,10.1145/3587102.3588773,,"acm, web_of_science",2023
446,"Comparing Code Explanations Created by Students and Large Language
  Models",,http://arxiv.org/pdf/2304.03938v1.pdf,,10.1145/3587102.3588785,,"arxiv, acm, web_of_science",2023
447,Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,,https://doi.org/10.1145/3587102.3588805,,10.1145/3587102.3588805,,acm,2023
448,GPT-3 vs Object Oriented Programming Assignments: An Experience Report,,https://doi.org/10.1145/3587102.3588814,,10.1145/3587102.3588814,,acm,2023
449,Investigating the Potential of GPT-3 in Providing Feedback for Programming Assessments,,https://doi.org/10.1145/3587102.3588852,,10.1145/3587102.3588852,,"acm, web_of_science",2023
450,Improving Effectiveness of Programming Assignments with Real-time Formative Feedback,,https://doi.org/10.1145/3587103.3594145,,10.1145/3587103.3594145,,acm,2023
451,Classifying Course Discussion Board Questions using LLMs,,https://doi.org/10.1145/3587103.3594202,,10.1145/3587103.3594202,,"acm, web_of_science",2023
452,Transformed by Transformers: Navigating the AI Coding Revolution for Computing Education An ITiCSE Working Group Conducted by Humans,,http://dx.doi.org/10.1145/3587103.3594206,,10.1145/3587103.3594206,,"web_of_science, acm",2023
453,Low-Code Programming Models,,https://doi.org/10.1145/3587691,,10.1145/3587691,,acm,2023
454,PhysicsAR: Problem Set Reality,,https://doi.org/10.1145/3588427.3595359,,10.1145/3588427.3595359,,acm,2023
455,Intermediated Reality with an AI 3D Printed Character,,https://doi.org/10.1145/3588430.3597251,,10.1145/3588430.3597251,,acm,2023
456,Harnessing Large Language Models for Text-Rich Sequential Recommendation,,https://doi.org/10.1145/3589334.3645358,,10.1145/3589334.3645358,,acm,2024
457,Labor Space: A Unifying Representation of the Labor Market via Large Language Models,,https://doi.org/10.1145/3589334.3645464,,10.1145/3589334.3645464,,acm,2024
458,GraphTranslator: Aligning Graph Model to Large Language Model for Open-ended Tasks,,https://doi.org/10.1145/3589334.3645682,,10.1145/3589334.3645682,,acm,2024
459,Large Language Models for Recommendation: Progresses and Future Directions,,https://doi.org/10.1145/3589335.3641247,,10.1145/3589335.3641247,,"acm, acm",2024
460,"Simulating Human Society with Large Language Model Agents: City, Social Media, and Economic System",,https://doi.org/10.1145/3589335.3641253,,10.1145/3589335.3641253,,acm,2024
461,"Curriculum Learning: Theories, Approaches, Applications, Tools, and Future Directions in the Era of Large Language Models",,https://doi.org/10.1145/3589335.3641257,,10.1145/3589335.3641257,,acm,2024
462,The 1st Workshop on Decentralised Search and Recommendation,,https://doi.org/10.1145/3589335.3641302,,10.1145/3589335.3641302,,acm,2024
463,TrustLOG: The Second Workshop on Trustworthy Learning on Graphs,,https://doi.org/10.1145/3589335.3641305,,10.1145/3589335.3641305,,acm,2024
464,The 1st International Workshop on Graph Foundation Models (GFM),,https://doi.org/10.1145/3589335.3641306,,10.1145/3589335.3641306,,acm,2024
465,RecAI: Leveraging Large Language Models for Next-Generation Recommender Systems,,https://doi.org/10.1145/3589335.3651242,,10.1145/3589335.3651242,,acm,2024
466,How We Refute Claims: Automatic Fact-Checking through Flaw Identification and Explanation,,https://doi.org/10.1145/3589335.3651521,,10.1145/3589335.3651521,,acm,2024
467,Who is Creating Malware Repositories on GitHub and Why?,,https://doi.org/10.1145/3589335.3651582,,10.1145/3589335.3651582,,acm,2024
468,How Reliable is Your Simulator? Analysis on the Limitations of Current LLM-based User Simulators for Conversational Recommendation,,https://doi.org/10.1145/3589335.3651955,,10.1145/3589335.3651955,,acm,2024
469,"Understanding, Leveraging, and Improving Large Language Models",,https://doi.org/10.1145/3589335.3653009,,10.1145/3589335.3653009,,acm,2024
470,CausalMapper: Challenging designers to think in systems with Causal Maps and Large Language Model,,https://doi.org/10.1145/3591196.3596818,,10.1145/3591196.3596818,,acm,2023
471,Prompting Is Programming: A Query Language for Large Language Models,,https://doi.org/10.1145/3591300,,10.1145/3591300,,acm,2023
472,Can Generative AI Bots Be Trusted?,,https://doi.org/10.1145/3592981,,10.1145/3592981,,acm,2023
473,Capturing Humans’ Mental Models of AI: An Item Response Theory Approach,,https://doi.org/10.1145/3593013.3594111,,10.1145/3593013.3594111,,acm,2023
474,Evaluating a Large Language Model on Searching for GUI Layouts,,https://doi.org/10.1145/3593230,,10.1145/3593230,,acm,2023
475,AI-Generated Code Not Considered Harmful,,https://doi.org/10.1145/3593342.3593349,,10.1145/3593342.3593349,,acm,2023
476,Towards Human-Bot Collaborative Software Architecting with ChatGPT,,https://doi.org/10.1145/3593434.3593468,,10.1145/3593434.3593468,,acm,2023
477,Inspire creativity with ORIBA: Transform Artists' Original Characters into Chatbots through Large Language Model,,https://doi.org/10.1145/3594739.3610695,,10.1145/3594739.3610695,,acm,2023
478,Preparing Future Designers for Human-AI Collaboration in Persona Creation,,https://doi.org/10.1145/3596671.3598574,,10.1145/3596671.3598574,,acm,2023
479,Designing with AI,,https://doi.org/10.1145/3596926,,10.1145/3596926,,acm,2023
480,How to Support ML End-User Programmers through a Conversational Agent,,https://doi.org/10.1145/3597503.3608130,,10.1145/3597503.3608130,,acm,2024
481,On the Helpfulness of Answering Developer Questions on Discord with Similar Conversations and Posts from the Past,,https://doi.org/10.1145/3597503.3623341,,10.1145/3597503.3623341,,acm,2024
482,ChatGPT-Resistant Screening Instrument for Identifying Non-Programmers,,https://doi.org/10.1145/3597503.3639075,,10.1145/3597503.3639075,,acm,2024
483,A User-centered Security Evaluation of Copilot,,https://doi.org/10.1145/3597503.3639154,,10.1145/3597503.3639154,,acm,2024
484,Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,,https://doi.org/10.1145/3597503.3639180,,10.1145/3597503.3639180,,acm,2024
485,ReFAIR: Toward a Context-Aware Recommender for Fairness Requirements Engineering,,https://doi.org/10.1145/3597503.3639185,,10.1145/3597503.3639185,,acm,2024
486,Using an LLM to Help With Code Understanding,,https://doi.org/10.1145/3597503.3639187,,10.1145/3597503.3639187,,acm,2024
487,Who Judges the Judge: An Empirical Study on Online Judge Tests,,https://doi.org/10.1145/3597926.3598060,,10.1145/3597926.3598060,,"acm, web_of_science",2023
488,Analyzing the Use of Large Language Models for Content Moderation with ChatGPT Examples,,https://doi.org/10.1145/3599696.3612895,,10.1145/3599696.3612895,,acm,2023
489,ChatGPT-Based Debate Game Application Utilizing Prompt Engineering,,https://doi.org/10.1145/3599957.3606244,,10.1145/3599957.3606244,,acm,2023
490,Evaluating Biased Attitude Associations of Language Models in an Intersectional Context,,https://doi.org/10.1145/3600211.3604666,,10.1145/3600211.3604666,,acm,2023
491,AI Art and its Impact on Artists,,https://doi.org/10.1145/3600211.3604681,,10.1145/3600211.3604681,,acm,2023
492,Disambiguating Algorithmic Bias: From Neutrality to Justice,,https://doi.org/10.1145/3600211.3604695,,10.1145/3600211.3604695,,acm,2023
493,Why We Need to Know More: Exploring the State of AI Incident Documentation Practices,,https://doi.org/10.1145/3600211.3604700,,10.1145/3600211.3604700,,acm,2023
494,What does it mean to be a responsible AI practitioner: An ontology of roles and skills,,https://doi.org/10.1145/3600211.3604702,,10.1145/3600211.3604702,,acm,2023
495,Seven Hypertexts,,https://doi.org/10.1145/3603163.3609048,,10.1145/3603163.3609048,,acm,2023
496,Poster: PipeLLM: Pipeline LLM Inference on Heterogeneous Devices with Sequence Slicing,,https://doi.org/10.1145/3603269.3610856,,10.1145/3603269.3610856,,acm,2023
497,Promise and Challenges of Generative AI in Healthcare Information Systems,,https://doi.org/10.1145/3603287.3651196,,10.1145/3603287.3651196,,acm,2024
498,From ChatGPT to FactGPT: A Participatory Design Study to Mitigate the Effects of Large Language Model Hallucinations on Users,,https://doi.org/10.1145/3603555.3603565,,10.1145/3603555.3603565,,acm,2023
499,Predictability of Post-Earnings Announcement Drift with Textual and Contextual Factors of Earnings Calls,,https://doi.org/10.1145/3604237.3626861,,10.1145/3604237.3626861,,acm,2023
500,Voice in the Machine: Ethical Considerations for Language-Capable Robots,,https://doi.org/10.1145/3604632,,10.1145/3604632,,acm,2023
501,RecAD: Towards A Unified Library for Recommender Attack and Defense,,https://doi.org/10.1145/3604915.3609490,,10.1145/3604915.3609490,,acm,2023
502,Tutorial on Large Language Models for Recommendation,,https://doi.org/10.1145/3604915.3609494,,10.1145/3604915.3609494,,acm,2023
503,Improving Soft Skill Extraction via Data Augmentation and Embedding Manipulation,,https://doi.org/10.1145/3605098.3636010,,10.1145/3605098.3636010,,acm,2024
504,A Large-Scale Study of ML-Related Python Projects,,https://doi.org/10.1145/3605098.3636056,,10.1145/3605098.3636056,,acm,2024
505,Equity and Fairness Challenges in Online Learning in the Age of ChatGPT,,https://doi.org/10.1145/3605098.3636108,,10.1145/3605098.3636108,,acm,2024
506,Authoring Worked Examples for JAVA Programming with Human AI Collaboration,,https://doi.org/10.1145/3605098.3636160,,10.1145/3605098.3636160,,acm,2024
507,Dual-Submission Homework in Parallel Computer Architecture: An Exploratory Study in the Age of LLMs,,https://doi.org/10.1145/3605507.3610629,,10.1145/3605507.3610629,,acm,2024
508,Evaluation of OpenAI Codex for HPC Parallel Programming Models Kernel Generation,,https://doi.org/10.1145/3605731.3605886,,10.1145/3605731.3605886,,acm,2023
509,Broken Promises: Measuring Confounding Effects in Learning-based Vulnerability Discovery,,https://doi.org/10.1145/3605764.3623915,,10.1145/3605764.3623915,,acm,2023
510,Did You Train on My Dataset? Towards Public Dataset Protection with CleanLabel Backdoor Watermarking,,https://doi.org/10.1145/3606274.3606279,,10.1145/3606274.3606279,,acm,2023
511,Moving From Narrative to Interactive Multi-Modal Sentiment Analysis: A Survey,,https://doi.org/10.1145/3610288,,10.1145/3610288,,acm,2023
512,AI N\,,https://doi.org/10.1145/3610591.3616427,,10.1145/3610591.3616427,,acm,2023
513,PREDILECT: Preferences Delineated with Zero-Shot Language-based Reasoning in Reinforcement Learning,,https://doi.org/10.1145/3610977.3634970,,10.1145/3610977.3634970,,acm,2024
514,Sobotify: A Framework for Turning Robots into Social Robots,,https://doi.org/10.1145/3610977.3637482,,10.1145/3610977.3637482,,acm,2024
515,Embo: A Wearable Robot Transforming Child-Directed Verbal Aggression into Tactile Feedback,,https://doi.org/10.1145/3610978.3640616,,10.1145/3610978.3640616,,acm,2024
516,MiRODES: Mini Intelligent Robot for On-campus Domain-specific Event Support,,https://doi.org/10.1145/3610978.3641272,,10.1145/3610978.3641272,,acm,2024
517,Getting pwn’d by AI: Penetration Testing with Large Language Models,,https://doi.org/10.1145/3611643.3613083,,10.1145/3611643.3613083,,acm,2023
518,InferFix: End-to-End Program Repair with LLMs,,https://doi.org/10.1145/3611643.3613892,,10.1145/3611643.3613892,,acm,2023
519,Evaluating Transfer Learning for Simplifying GitHub READMEs,,https://doi.org/10.1145/3611643.3616291,,10.1145/3611643.3616291,,acm,2023
520,TransMap: Pinpointing Mistakes in Neural Code Translation,,https://doi.org/10.1145/3611643.3616322,,10.1145/3611643.3616322,,acm,2023
521,Large Language Models for Education: Grading Open-Ended Questions Using ChatGPT,,https://doi.org/10.1145/3613372.3614197,,10.1145/3613372.3614197,,acm,2023
522,How Do Data Analysts Respond to AI Assistance? A Wizard-of-Oz Study,,https://doi.org/10.1145/3613904.3641891,,10.1145/3613904.3641891,,acm,2024
523,The HaLLMark Effect: Supporting Provenance and Transparent Use of Large Language Models in Writing with Interactive Visualization,,https://doi.org/10.1145/3613904.3641895,,10.1145/3613904.3641895,,acm,2024
524,ABScribe: Rapid Exploration &amp; Organization of Multiple Writing Variations in Human-AI Co-Writing Tasks using Large Language Models,,https://doi.org/10.1145/3613904.3641899,,10.1145/3613904.3641899,,acm,2024
525,Beyond the Waiting Room: Patient's Perspectives on the Conversational Nuances of Pre-Consultation Chatbots,,https://doi.org/10.1145/3613904.3641913,,10.1145/3613904.3641913,,acm,2024
526,VAL: Interactive Task Learning with GPT Dialog Parsing,,https://doi.org/10.1145/3613904.3641915,,10.1145/3613904.3641915,,acm,2024
527,Integrating Expertise in LLMs: Crafting a Customized Nutrition Assistant with Refined Template Instructions,,https://doi.org/10.1145/3613904.3641924,,10.1145/3613904.3641924,,acm,2024
528,Writing out the Storm: Designing and Evaluating Tools for Weather Risk Messaging,,https://doi.org/10.1145/3613904.3641926,,10.1145/3613904.3641926,,acm,2024
529,Reading Between the Lines: Modeling User Behavior and Costs in AI-Assisted Programming,,https://doi.org/10.1145/3613904.3641936,,10.1145/3613904.3641936,,acm,2024
530,Understanding Choice Independence and Error Types in Human-AI Collaboration,,https://doi.org/10.1145/3613904.3641946,,10.1145/3613904.3641946,,acm,2024
531,From Text to Self: Users’ Perception of AIMC Tools on Interpersonal Communication and Self,,https://doi.org/10.1145/3613904.3641955,,10.1145/3613904.3641955,,acm,2024
532,"Towards AI-Driven Healthcare: Systematic Optimization, Linguistic Analysis, and Clinicians’ Evaluation of Large Language Models for Smoking Cessation Interventions",,https://doi.org/10.1145/3613904.3641965,,10.1145/3613904.3641965,,acm,2024
533,Marco: Supporting Business Document Workflows via Collection-Centric Information Foraging with Large Language Models,,https://doi.org/10.1145/3613904.3641969,,10.1145/3613904.3641969,,acm,2024
534,Unlock Life with a Chat(GPT): Integrating Conversational AI with Large Language Models into Everyday Lives of Autistic Individuals,,https://doi.org/10.1145/3613904.3641989,,10.1145/3613904.3641989,,acm,2024
535,"CollabCoder: A Lower-barrier, Rigorous Workflow for Inductive Collaborative Qualitative Analysis with Large Language Models",,https://doi.org/10.1145/3613904.3642002,,10.1145/3613904.3642002,,acm,2024
536,Towards Designing a Question-Answering Chatbot for Online News: Understanding Questions and Perspectives,,https://doi.org/10.1145/3613904.3642007,,10.1145/3613904.3642007,,acm,2024
537,ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing,,https://doi.org/10.1145/3613904.3642016,,10.1145/3613904.3642016,,acm,2024
538,Towards Co-Creating Access and Inclusion: A Group Autoethnography on a Hearing Individual's Journey Towards Effective Communication in Mixed-Hearing Ability Higher Education Settings,,https://doi.org/10.1145/3613904.3642017,,10.1145/3613904.3642017,,acm,2024
539,Deus Ex Machina and Personas from Large Language Models: Investigating the Composition of AI-Generated Persona Descriptions,,https://doi.org/10.1145/3613904.3642036,,10.1145/3613904.3642036,,acm,2024
540,"Scientific and Fantastical: Creating Immersive, Culturally Relevant Learning Experiences with Augmented Reality and Large Language Models",,https://doi.org/10.1145/3613904.3642041,,10.1145/3613904.3642041,,acm,2024
541,BLIP: Facilitating the Exploration of Undesirable Consequences of Digital Technologies,,https://doi.org/10.1145/3613904.3642054,,10.1145/3613904.3642054,,acm,2024
542,SEAM-EZ: Simplifying Stateful Analytics through Visual Programming,,https://doi.org/10.1145/3613904.3642055,,10.1145/3613904.3642055,,acm,2024
543,Co-Designing QuickPic: Automated Topic-Specific Communication Boards from Photographs for AAC-Based Language Instruction,,https://doi.org/10.1145/3613904.3642080,,10.1145/3613904.3642080,,acm,2024
544,Understanding the Role of Large Language Models in Personalizing and Scaffolding Strategies to Combat Academic Procrastination,,https://doi.org/10.1145/3613904.3642081,,10.1145/3613904.3642081,,acm,2024
545,Watch Your Mouth: Silent Speech Recognition with Depth Sensing,,https://doi.org/10.1145/3613904.3642092,,10.1145/3613904.3642092,,acm,2024
546,STILE: Exploring and Debugging Social Biases in Pre-trained Text Representations,,https://doi.org/10.1145/3613904.3642111,,10.1145/3613904.3642111,,acm,2024
547,"Deepfakes, Phrenology, Surveillance, and More! A Taxonomy of AI Privacy Risks",,https://doi.org/10.1145/3613904.3642116,,10.1145/3613904.3642116,,acm,2024
548,Shaping Human-AI Collaboration: Varied Scaffolding Levels in Co-writing with Language Models,,https://doi.org/10.1145/3613904.3642134,,10.1145/3613904.3642134,,acm,2024
549,"“As an AI language model, I cannot”: Investigating LLM Denials of User Requests",,https://doi.org/10.1145/3613904.3642135,,10.1145/3613904.3642135,,acm,2024
550,Critical Heritage Studies as a Lens to Understand Short Video Sharing of Intangible Cultural Heritage on Douyin,,https://doi.org/10.1145/3613904.3642138,,10.1145/3613904.3642138,,acm,2024
551,Rehearsal: Simulating Conflict to Teach Conflict Resolution,,https://doi.org/10.1145/3613904.3642159,,10.1145/3613904.3642159,,acm,2024
552,"Generative AI in the Wild: Prospects, Challenges, and Strategies",,https://doi.org/10.1145/3613904.3642160,,10.1145/3613904.3642160,,acm,2024
553,“They only care to show us the wheelchair”: disability representation in text-to-image AI models,,https://doi.org/10.1145/3613904.3642166,,10.1145/3613904.3642166,,acm,2024
554,Enhancing UX Evaluation Through Collaboration with Conversational AI Assistants: Effects of Proactive Dialogue and Timing,,https://doi.org/10.1145/3613904.3642168,,10.1145/3613904.3642168,,acm,2024
555,Epigraphics: Message-Driven Infographics Authoring,,https://doi.org/10.1145/3613904.3642172,,10.1145/3613904.3642172,,acm,2024
556,Deconstructing the Veneer of Simplicity: Co-Designing Introductory Generative AI Workshops with Local Entrepreneurs,,https://doi.org/10.1145/3613904.3642191,,10.1145/3613904.3642191,,acm,2024
557,Teaching artificial intelligence in extracurricular contexts through narrative-based learnersourcing,,https://doi.org/10.1145/3613904.3642198,,10.1145/3613904.3642198,,acm,2024
558,Bystanders of Online Moderation: Examining the Effects of Witnessing Post-Removal Explanations,,https://doi.org/10.1145/3613904.3642204,,10.1145/3613904.3642204,,acm,2024
559,Stochastic Machine Witnesses at Work: Today's Critiques of Taylorism are Inadequate for Workplace Surveillance Epistemologies of the Future,,https://doi.org/10.1145/3613904.3642206,,10.1145/3613904.3642206,,acm,2024
560,TADA: Making Node-link Diagrams Accessible to Blind and Low-Vision People,,https://doi.org/10.1145/3613904.3642222,,10.1145/3613904.3642222,,acm,2024
561,"ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming
  Learning for Children Aged 6-12",,http://arxiv.org/pdf/2402.04975v1.pdf,,10.1145/3613904.3642229,,"arxiv, acm",2024
562,VirtuWander: Enhancing Multi-modal Interaction for Virtual Tour Guidance through Large Language Models,,https://doi.org/10.1145/3613904.3642235,,10.1145/3613904.3642235,,acm,2024
563,VAID: Indexing View Designs in Visual Analytics System,,https://doi.org/10.1145/3613904.3642237,,10.1145/3613904.3642237,,acm,2024
564,"Lies, Deceit, and Hallucinations: Player Perception and Expectations Regarding Trust and Deception in Games",,https://doi.org/10.1145/3613904.3642253,,10.1145/3613904.3642253,,acm,2024
