title,url,doi,abstract,year,num_pages,paper_type,bibtex
Use of AI-driven Code Generation Models in Teaching and Learning Programming: a Systematic Literature Review,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189316150&origin=inward,10.1145/3626252.3630958,"AbstractView references

The recent emergence of LLM-based code generation models can potentially transform programming education. To pinpoint the current state of research on using LLM-based code generators to support the teaching and learning of programming, we conducted a systematic literature review of 21 papers published since 2018. The review focuses on (1) the teaching and learning practices in programming education that utilized LLM-based code generation models, (2) characteristics and (3) performance indicators of the models, and (4) aspects to consider when utilizing the models in programming education, including the risks and challenges. We found that the most commonly reported uses of LLM-based code generation models for teachers are generating assignments and evaluating student work, while for students, the models function as virtual tutors. We identified that the models exhibit accuracy limitations; generated content often contains minor errors that are manageable by instructors but pose risks for novice learners. Moreover, risks such as academic misconduct and over-reliance on the models are critical when considering integrating these models into education. Overall, LLM-based code generation models can be an assistive tool for both learners and instructors if the risks are mitigated. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189316150,
  title={Use of AI-driven Code Generation Models in Teaching and Learning Programming: a Systematic Literature Review},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Need a Programming Exercise Generated in Your Native Language? ChatGPT's Got Your Back: Automatic Generation of Non-English Programming Exercises Using OpenAI GPT-3.5,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189309863&origin=inward,10.1145/3626252.3630897,"AbstractView references

Large language models (LLMs) like ChatGPT are changing computing education and may create additional barriers to those already faced by non-native English speakers (NNES) learning computing. We investigate an opportunity for a positive impact of LLMs on NNES through multilingual programming exercise generation. Following previous work with LLM exercise generation in English, we prompt OpenAI GPT-3.5 in 4 natural languages (English, Tamil, Spanish, and Vietnamese) to create introductory programming problems, sample solutions, and test cases. We evaluate these problems on their sensibility, readability, translation, sample solution accuracy, topicality, and cultural relevance. We find that problems generated in English, Spanish, and Vietnamese are largely sensible, easily understood, and accurate in their sample solutions. However, Tamil problems are mostly non-sensible and have a much lower passing test rate, indicating that the abilities of LLMs for problem generation are not generalizable across languages. Our analysis suggests that these problems could not be given verbatim to students, but with minimal effort, most errors can be fixed. We further discuss the benefits of these problems despite their flaws, and their opportunities to provide personalized and culturally relevant resources for students in their native languages. © 2024 Owner/Author.",2024,7,Conference Paper,"@article{2-s2.0-85189309863,
  title={Need a Programming Exercise Generated in Your Native Language? ChatGPT's Got Your Back: Automatic Generation of Non-English Programming Exercises Using OpenAI GPT-3.5},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Detecting ChatGPT-Generated Code Submissions in a CS1 Course Using Machine Learning Models,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189305423&origin=inward,10.1145/3626252.3630826,"AbstractView references

The emergence of publicly accessible large language models (LLMs) such as ChatGPT poses unprecedented risks of new types of plagiarism and cheating where students use LLMs to solve exercises for them. Detecting this behavior will be a necessary component in introductory computer science (CS1) courses, and educators should be well-equipped with detection tools when the need arises. However, ChatGPT generates code non-deterministically, and thus, traditional similarity detectors might not suffice to detect AI-created code. In this work, we explore the affordances of Machine Learning (ML) models for the detection task. We used an openly available dataset of student programs for CS1 assignments and had ChatGPT generate code for the same assignments, and then evaluated the performance of both traditional machine learning models and Abstract Syntax Tree-based (AST-based) deep learning models in detecting ChatGPT code from student code submissions. Our results suggest that both traditional machine learning models and AST-based deep learning models are effective in identifying ChatGPT-generated code with accuracy above 90%. Since the deployment of such models requires ML knowledge and resources that are not always accessible to instructors, we also explore the patterns detected by deep learning models that indicate possible ChatGPT code signatures, which instructors could possibly use to detect LLM-based cheating manually. We also explore whether explicitly asking ChatGPT to impersonate a novice programmer affects the code produced. We further discuss the potential applications of our proposed models for enhancing introductory computer science instruction. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189305423,
  title={Detecting ChatGPT-Generated Code Submissions in a CS1 Course Using Machine Learning Models},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189303280&origin=inward,10.1145/3626252.3630938,"AbstractView references

In Summer 2023, we developed and integrated a suite of AI-based software tools into CS50 at Harvard University. These tools were initially available to approximately 70 summer students, then to thousands of students online, and finally to several hundred on campus during Fall 2023. Per the course's own policy, we encouraged students to use these course-specific tools and limited the use of commercial AI software such as ChatGPT, GitHub Copilot, and the new Bing. Our goal was to approximate a 1:1 teacher-to-student ratio through software, thereby equipping students with a pedagogically-minded subject-matter expert by their side at all times, designed to guide students toward solutions rather than offer them outright. The tools were received positively by students, who noted that they felt like they had ""a personal tutor.'' Our findings suggest that integrating AI thoughtfully into educational settings enhances the learning experience by providing continuous, customized support and enabling human educators to address more complex pedagogical issues. In this paper, we detail how AI tools have augmented teaching and learning in CS50, specifically in explaining code snippets, improving code style, and accurately responding to curricular and administrative queries on the course's discussion forum. Additionally, we present our methodological approach, implementation details, and guidance for those considering using these tools or AI generally in education. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189303280,
  title={Teaching CS50 with AI: Leveraging Generative Artificial Intelligence in Computer Science Education},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
"Using GPT-4 to Provide Tiered, Formative Code Feedback",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189297428&origin=inward,10.1145/3626252.3630960,"AbstractView references

Large language models (LLMs) have shown promise in generating sensible code explanation and feedback in programming exercises. In this experience report, we discuss the process of using one of these models (OpenAI's GPT-4) to generate individualized feedback for students' Java code and pseudocode. We instructed GPT-4 to generate feedback for 113 submissions to four programming problems in an Algorithms and Data Structures class. We prompted the model with example feedback (few-shot learning) and instruction to (1) give feedback on conceptual understanding, syntax, and time complexity, and (2) suggest follow-up actions based on students' code or provide guiding questions. Overall, GPT-4 provided accurate feedback and successfully built on students' ideas in most submissions. Human evaluators (computer science instructors and tutors) rated GPT-4's hints as useful in guiding students' next steps. Model performance varied with programming problems but not submission quality. We reflect on where the model performed well and fell short, and discuss the potential of integrating LLM-generated, individualized feedback into computer science instruction. © 2024 Owner/Author.",2024,7,Conference Paper,"@article{2-s2.0-85189297428,
  title={Using GPT-4 to Provide Tiered, Formative Code Feedback},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189289344&origin=inward,10.1145/3626252.3630789,"AbstractView references

As the prominence of Large Language Models (LLMs) grows in various sectors, their potential in education warrants exploration. In this study, we investigate the feasibility of employing GPT-3.5 from OpenAI, as an LLM teaching assistant (TA) or a virtual TA in computer science (CS) courses. The objective is to enhance the accessibility of CS education while maintaining academic integrity by refraining from providing direct solutions to current-semester assignments. Targeting Foundations of Programming (COMP202), an undergraduate course that introduces students to programming with Python, we have developed a virtual TA using the LangChain framework, known for integrating language models with diverse data sources and environments. The virtual TA assists students with their code and clarifies complex concepts. For homework questions, it is designed to guide students with hints rather than giving out direct solutions. We assessed its performance first through a qualitative evaluation, then a survey-based comparative analysis, using a mix of questions commonly asked on the COMP202 discussion board and questions created by the authors. Our preliminary results indicate that the virtual TA outperforms human TAs on clarity and engagement, matching them on accuracy when the question is non-assignment-specific, for which human TAs still proved more reliable. These findings suggest that while virtual TAs, leveraging the capabilities of LLMs, hold great promise towards making CS education experience more accessible and engaging, their optimal use necessitates human supervision. We conclude by identifying several directions that could be explored in future implementations. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189289344,
  title={Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Implications of ChatGPT for Data Science Education,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189289268&origin=inward,10.1145/3626252.3630874,"AbstractView references

ChatGPT is a conversational AI platform that can produce code to solve problems when provided with a natural language prompt. Prior work on similar AI models has shown that they perform well on typical intro-level Computer Science problems. However, little is known about the performance of such tools on Data Science (DS) problems. In this work, we assess the performance of ChatGPT on assignments from three DS courses with varying difficulty levels. First, we apply the raw assignment prompts provided to the students and find that ChatGPT performs well on assignments with dataset(s) descriptions and progressive question prompts, which divide the programming requirements into sub-problems. Then, we perform prompt engineering on the assignments for which ChatGPT had low performance. We find that the following prompt engineering techniques significantly increased ChatGPT's performance: breaking down abstract questions into steps, breaking down steps into multiple prompts, providing descriptions of the dataset(s), including algorithmic details, adding specific instructions to entice specific actions, and removing extraneous information. Finally, we discuss how our findings suggest potential changes to curriculum design of DS courses. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189289268,
  title={Implications of ChatGPT for Data Science Education},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Attitudes Towards the Use (and Misuse) of ChatGPT: A Preliminary Study,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85189286302&origin=inward,10.1145/3626252.3630784,"AbstractView references

ChatGPT is the front end to a powerful large language model that has garnered widespread attention in many fields of study, including computer science (CS), where it promises to be transformational. As educators, we are just starting to grapple with the ramifications of this new technology, including implications for what we teach, how we teach, and how we grade. The decisions educators make moving forward depend heavily on the prevalence of students' use (and misuse) of ChatGPT in the classroom. Further, predictors of nefarious use could aid educators as well. We conducted an online survey to capture CS student awareness of, experience with, and attitudes toward ChatGPT. Through quantitative and qualitative analysis, we found that awareness of ChatGPT is generally high, and it is more frequently being used as a study tool than to complete students' work for them. Most students are aware of the potential for abuse in academic pursuits, but a notable minority of students admit to using it unscrupulously and to the potential for it to interfere with their learning. We conclude with a discussion of factors to consider as educators modify their approaches and develop guidelines for ChatGPT usage in their classrooms. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85189286302,
  title={Attitudes Towards the Use (and Misuse) of ChatGPT: A Preliminary Study},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85188258594&origin=inward,10.1145/3626252.3630880,"AbstractView references

Much of the recent work investigating large language models and AI Code Generation tools in computing education has focused on assessing their capabilities for solving typical programming problems and for generating resources such as code explanations and exercises. If progress is to be made toward the inevitable lasting pedagogical change, there is a need for research that explores the instructor voice, seeking to understand how instructors with a range of experiences plan to adapt. In this paper, we report the results of an interview study involving 12 instructors from Australia, Finland and New Zealand, in which we investigate educators' current practices, concerns, and planned adaptations relating to these tools. Through this empirical study, our goal is to prompt dialogue between researchers and educators to inform new pedagogical strategies in response to the rapidly evolving landscape of AI code generation tools. © 2024 Owner/Author.",2024,7,Conference Paper,"@article{2-s2.0-85188258594,
  title={Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
A Large Scale RCT on Effective Error Messages in CS1,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185816269&origin=inward,10.1145/3626252.3630764,"AbstractView references

In this paper, we evaluate the most effective error message types through a large-scale randomized controlled trial conducted in an open-access, online introductory computer science course with 8,762 students from 146 countries. We assess existing error message enhancement strategies, as well as two novel approaches of our own: (1) generating error messages using OpenAI's GPT in real time and (2) constructing error messages that incorporate the course discussion forum. By examining students' direct responses to error messages, and their behavior throughout the course, we quantitatively evaluate the immediate and longer term efficacy of different error message types. We find that students using GPT generated error messages repeat an error 23.1% less often in the subsequent attempt, and resolve an error in 34.8% fewer additional attempts, compared to students using standard error messages. We also perform an analysis across various demographics to understand any disparities in the impact of different error message types. Our results find no significant difference in the effectiveness of GPT generated error messages for students from varying socioeconomic and demographic backgrounds. Our findings underscore GPT generated error messages as the most helpful error message type, especially as a universally effective intervention across demographics. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85185816269,
  title={A Large Scale RCT on Effective Error Messages in CS1},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
dcc - Help: Transforming the Role of the Compiler by Generating Context-Aware Error Explanations with Large Language Models,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185805699&origin=inward,10.1145/3626252.3630822,"AbstractView references

In the challenging field of introductory programming, high enrolments and failure rates drive us to explore tools and systems to enhance student outcomes, especially automated tools that scale to large cohorts. This paper presents and evaluates the dcc - help tool, an integration of a Large Language Model (LLM) into the Debugging C Compiler (DCC) to generate unique, novice-focused explanations tailored to each error. dcc - help prompts an LLM with contextual information of compile- and run-time error occurrences, including the source code, error location and standard compiler error message. The LLM is instructed to generate novice-focused, actionable error explanations and guidance, designed to help students understand and resolve problems without providing solutions. dcc - help was deployed to our CS1 and CS2 courses, with 2,565 students using the tool over 64,000 times in ten weeks. We analysed a subset of these error/explanation pairs to evaluate their properties, including conceptual correctness, relevancy, and overall quality. We found that the LLM-generated explanations were conceptually accurate in 90% of compile-time and 75% of run-time cases, but often disregarded the instruction not to provide solutions in code. Our findings, observations and reflections following deployment indicate that dcc - help provides novel opportunities for scaffolding students' introduction to programming. © 2024 ACM.",2024,7,Conference Paper,"@article{2-s2.0-85185805699,
  title={dcc - Help: Transforming the Role of the Compiler by Generating Context-Aware Error Explanations with Large Language Models},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Solving Proof Block Problems Using Large Language Models,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185719497&origin=inward,10.1145/3626252.3630928,"AbstractView references

Large language models (LLMs) have recently taken many fields, including computer science, by storm. Most recent work on LLMs in computing education has shown that they are capable of solving most introductory programming (CS1) exercises, exam questions, Parsons problems, and several other types of exercises and questions. Some work has investigated the ability of LLMs to solve CS2 problems as well. However, it remains unclear how well LLMs fare against more advanced upper-division coursework, such as proofs in algorithms courses. After all, while known to be proficient in many programming tasks, LLMs have been shown to have more difficulties in forming mathematical proofs. In this paper, we investigate the ability of LLMs to solve mathematical proofs by using Proof Blocks, a tool previously shown to efficaciously teach proofs to students. Our results show that GPT-3.5 is almost completely unable to provide correct solutions (11.4%), while GPT-4 shows a significant increase in correctness (64.8%). However, even given this improvement, current models still struggle to correctly order lines in a proof. It remains an open question whether this is a temporary situation or if LLMs will continue to struggle to solve these types of exercises in the future. © 2024 Owner/Author.",2024,7,Conference Paper,"@article{2-s2.0-85185719497,
  title={Solving Proof Block Problems Using Large Language Models},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Prompt Problems: A New Programming Exercise for the Generative AI Era,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85184751809&origin=inward,10.1145/3626252.3630909,"AbstractView references

Large language models (LLMs) are revolutionizing the field of computing education with their powerful code-generating capabilities. Traditional pedagogical practices have focused on code writing tasks, but there is now a shift in importance towards reading, comprehending and evaluating LLM-generated code. Alongside this shift, an important new skill is emerging - the ability to solve programming tasks by constructing good prompts for code-generating models. In this work we introduce a new type of programming exercise to hone this nascent skill: 'Prompt Problems'. Prompt Problems are designed to help students learn how to write effective prompts for AI code generators. A student solves a Prompt Problem by crafting a natural language prompt which, when provided as input to an LLM, outputs code that successfully solves a specified programming task. We also present a new web-based tool called Promptly which hosts a repository of Prompt Problems and supports the automated evaluation of prompt-generated code. We deploy Promptly in one CS1 and one CS2 course and describe our experiences, which include student perceptions of this new type of activity and their interactions with the tool. We find that students are enthusiastic about Prompt Problems, and appreciate how the problems engage their computational thinking skills and expose them to new programming constructs. We discuss ideas for the future development of new variations of Prompt Problems, and the need to carefully study their integration into classroom practice. © 2024 Owner/Author.",2024,7,Conference Paper,"@article{2-s2.0-85184751809,
  title={Prompt Problems: A New Programming Exercise for the Generative AI Era},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Voice-Controlled Robotics in Early Education: Implementing and Validating Child-Directed Interactions Using a Collaborative Robot and Artificial Intelligence,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85192750799&origin=inward,10.3390/app14062408,"AbstractView references

This article introduces a voice-controlled robotic system for early education, enabling children as young as four to interact with robots using natural voice commands. Recognizing the challenges posed by programming languages and robot theory for young learners, this study leverages recent advancements in artificial intelligence, such as large language models, to make robots more intelligent and easier to use. This innovative approach fosters a natural and intuitive interaction between the child and the robot, effectively removing barriers to access and expanding the educational possibilities of robotics in the classroom. In this context, a software pipeline is proposed that translates voice commands into robot actions. Each component is tested using different deep learning models and cloud services to determine their suitability, with the best ones being selected. Finally, the chosen setup is validated through an integration test involving children aged 4 to 6 years. Preliminary results demonstrate the system’s capability to accurately recognize and execute voice commands, highlighting its potential as a valuable educational tool for early education. © 2024 by the authors.",2024,4,Article,"@article{2-s2.0-85192750799,
  title={Voice-Controlled Robotics in Early Education: Implementing and Validating Child-Directed Interactions Using a Collaborative Robot and Artificial Intelligence},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Computer Science Education in ChatGPT Era: Experiences from an Experiment in a Programming Course for Novice Programmers,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85187912327&origin=inward,10.3390/math12050629,"AbstractView references

The use of large language models with chatbots like ChatGPT has become increasingly popular among students, especially in Computer Science education. However, significant debates exist in the education community on the role of ChatGPT in learning. Therefore, it is critical to understand the potential impact of ChatGPT on the learning, engagement, and overall success of students in classrooms. In this empirical study, we report on a controlled experiment with 182 participants in a first-year undergraduate course on object-oriented programming. Our differential study divided students into two groups, one using ChatGPT and the other not using it for practical programming assignments. The study results showed that the students’ performance is not influenced by ChatGPT usage (no statistical significance between groups with a p-value of 0.730), nor are the grading results of practical assignments (p-value 0.760) and midterm exams (p-value 0.856). Our findings from the controlled experiment suggest that it is safe for novice programmers to use ChatGPT if specific measures and adjustments are adopted in the education process. © 2024 by the authors.",2024,4,Article,"@article{2-s2.0-85187912327,
  title={Computer Science Education in ChatGPT Era: Experiences from an Experiment in a Programming Course for Novice Programmers},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
A Report on the Sixth Workshop on Emerging Software Engineering Education (WESEE 2024),https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85186757810&origin=inward,10.1145/3641399.3641436,"AbstractView references

Software engineering is rapidly adapting to meet the demands of contemporary customers and the challenges posed by relentless technological advancements. A well-prepared and highly competent workforce is crucial to propel this evolution, making it a pivotal element for the successful future of software engineering. To instill the art and science of software engineering across diverse age groups, innovative teaching methods must be introduced at all levels of education dissemination. Software engineering stands out as one of the most dynamic subjects in computer science curricula, spanning both undergraduate and postgraduate levels, given the continuous emergence of new software development process models, methods, and tools. A comprehensive software engineering course should encompass various processes, methods, and tools necessary to support large-scale software systems’ development, operation, and maintenance. Moreover, these courses should significantly emphasize developing the interpersonal and communication skills essential for a well-rounded software engineer. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2024,4,Conference Paper,"@article{2-s2.0-85186757810,
  title={A Report on the Sixth Workshop on Emerging Software Engineering Education (WESEE 2024)},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Design criteria for AI-based IT systems,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182981944&origin=inward,10.1007/s11548-024-03064-8,"AbstractView references

Purpose: This editorial relates to a panel discussion during the CARS 2023 congress that addressed the question on how AI-based IT systems should be designed that record and (transparently) display a reproducible path on clinical decision making. Even though the software engineering approach suggested for this endeavor is of a generic nature, it is assumed that the listed design criteria are applicable to IT system development also for the domain of radiology and surgery. Methods: An example of a possible design approach is outlined by illustrating on how to move from data, information, knowledge and models to wisdom-based decision making in the context of a conceptual GPT system design. In all these design steps, the essential requirements for system quality, information quality, and service quality may be realized by following the design cycle as suggested by A.R. Hevner, appropriately applied to AI-based IT systems design. Results: It can be observed that certain state-of-the-art AI algorithms and systems, such as large language models or generative pre-trained transformers (GPTs), are becoming increasingly complex and, therefore, need to be rigorously examined to render them transparent and comprehensible in their usage for all stakeholders involved in health care. Further critical questions that need to be addressed are outlined and complemented with some suggestions, that a possible design framework for a stakeholder specific AI system could be a (modest) GPT based on a small language model. Discussion: A fundamental question for the future remains whether society wants a quasi-wisdom-oriented healthcare system, based on data-driven intelligence with AI, or a human curated wisdom based on model-driven intelligence (with and without AI). Special CARS workshops and think tanks are planned to address this challenging question and possible new direction for assisting selected medical disciplines, e.g., radiology and surgery. © CARS 2024.",2024,6,Editorial,"@article{2-s2.0-85182981944,
  title={Design criteria for AI-based IT systems},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
"""It's not like Jarvis, but it's pretty close!"" - Examining ChatGPT's Usage among Undergraduate Students in Computer Science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182949202&origin=inward,10.1145/3636243.3636257,"AbstractView references

Large language models (LLMs) such as ChatGPT and Google Bard have garnered significant attention in the academic community. Previous research has evaluated these LLMs for various applications such as generating programming exercises and solutions. However, these evaluations have predominantly been conducted by instructors and researchers, not considering the actual usage of LLMs by students. This study adopts a student-first approach to comprehensively understand how undergraduate computer science students utilize ChatGPT, a popular LLM, released by OpenAI. We employ a combination of student surveys and interviews to obtain valuable insights into the benefits, challenges, and suggested improvements related to ChatGPT. Our findings suggest that a majority of students (over 57%) have a convincingly positive outlook towards adopting ChatGPT as an aid in coursework-related tasks. However, our research also highlights various challenges that must be resolved for long-term acceptance of ChatGPT amongst students. The findings from this investigation have broader implications and may be applicable to other LLMs and their role in computing education. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2024,10,Conference Paper,"@article{2-s2.0-85182949202,
  title={""It's not like Jarvis, but it's pretty close!"" - Examining ChatGPT's Usage among Undergraduate Students in Computer Science},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Next-Step Hint Generation for Introductory Programming Using Large Language Models,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182947216&origin=inward,10.1145/3636243.3636259,"AbstractView references

Large Language Models possess skills such as answering questions, writing essays or solving programming exercises. Since these models are easily accessible, researchers have investigated their capabilities and risks for programming education. This work explores how LLMs can contribute to programming education by supporting students with automated next-step hints. We investigate prompt practices that lead to effective next-step hints and use these insights to build our StAP-tutor. We evaluate this tutor by conducting an experiment with students, and performing expert assessments. Our findings show that most LLM-generated feedback messages describe one specific next step and are personalised to the student's code and approach. However, the hints may contain misleading information and lack sufficient detail when students approach the end of the assignment. This work demonstrates the potential for LLM-generated feedback, but further research is required to explore its practical implementation. © 2024 Copyright held by the owner/author(s). Publication rights licensed to ACM.",2024,10,Conference Paper,"@article{2-s2.0-85182947216,
  title={Next-Step Hint Generation for Introductory Programming Using Large Language Models},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182946993&origin=inward,10.1145/3636243.3636245,"AbstractView references

Identifying and resolving logic errors can be one of the most frustrating challenges for novices programmers. Unlike syntax errors, for which a compiler or interpreter can issue a message, logic errors can be subtle. In certain conditions, buggy code may even exhibit correct behavior - in other cases, the issue might be about how a problem statement has been interpreted. Such errors can be hard to spot when reading the code, and they can also at times be missed by automated tests. There is great educational potential in automatically detecting logic errors, especially when paired with suitable feedback for novices. Large language models (LLMs) have recently demonstrated surprising performance for a range of computing tasks, including generating and explaining code. These capabilities are closely linked to code syntax, which aligns with the next token prediction behavior of LLMs. On the other hand, logic errors relate to the runtime performance of code and thus may not be as well suited to analysis by LLMs. To explore this, we investigate the performance of two popular LLMs, GPT-3 and GPT-4, for detecting and providing a novice-friendly explanation of logic errors. We compare LLM performance with a large cohort of introductory computing students (n = 964) solving the same error detection task. Through a mixed-methods analysis of student and model responses, we observe significant improvement in logic error identification between the previous and current generation of LLMs, and find that both LLM generations significantly outperform students. We outline how such models could be integrated into computing education tools, and discuss their potential for supporting students when learning programming. © 2024 Copyright held by the owner/author(s).",2024,8,Conference Paper,"@article{2-s2.0-85182946993,
  title={Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
Patterns of Student Help-Seeking When Using a Large Language Model-Powered Programming Assistant,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85182946916&origin=inward,10.1145/3636243.3636249,"AbstractView references

Providing personalized assistance at scale is a long-standing challenge for computing educators, but a new generation of tools powered by large language models (LLMs) offers immense promise. Such tools can, in theory, provide on-demand help in large class settings and be configured with appropriate guardrails to prevent misuse and mitigate common concerns around learner over-reliance. However, the deployment of LLM-powered tools in authentic classroom settings is still rare, and very little is currently known about how students will use them in practice and what type of help they will seek. To address this, we examine students' use of an innovative LLM-powered tool that provides on-demand programming assistance without revealing solutions directly. We deployed the tool for 12 weeks in an introductory computer and data science course (n = 52), collecting more than 2,500 queries submitted by students throughout the term. We manually categorized all student queries based on the type of assistance sought, and we automatically analyzed several additional query characteristics. We found that most queries requested immediate help with programming assignments, whereas fewer requests asked for help on related concepts or for deepening conceptual understanding. Furthermore, students often provided minimal information to the tool, suggesting this is an area in which targeted instruction would be beneficial. We also found that students who achieved more success in the course tended to have used the tool more frequently overall. Lessons from this research can be leveraged by programming educators and institutions who plan to augment their teaching with emerging LLM-powered tools. © 2024 Copyright held by the owner/author(s).",2024,9,Conference Paper,"@article{2-s2.0-85182946916,
  title={Patterns of Student Help-Seeking When Using a Large Language Model-Powered Programming Assistant},
  author={N/A},
  journal={N/A},
  year={2024},
  volume={N/A},
  pages={N/A},
  doi={N/A}
}"
