title,published,link,DOI,authors,content_type,abstract
The Use of ChatGPT in Source-Based Writing Tasks,19 June 2024,/article/10.1007/s40593-024-00413-1,10.1007/s40593-024-00413-1,"Christian Tarchi, Alessandra Zappoli, ... Eva Wennås Brante",Article,"<jats:title>Abstract</jats:title><jats:p>ChatGPT, a chatbot based on a Generative Pre-trained Transformer model, can be used as a teaching tool in the educational setting, providing text in an interactive way. However, concerns point out risks and disadvantages, as possible incorrect or irrelevant answers, privacy concerns, and copyright issues. This study aims to categorize the strategies used by undergraduate students completing a source-based writing task (SBW, i.e., written production based on texts previously read) with the help of ChatGPT and their relation to the quality and content of students’ written products. ChatGPT can be educationally useful in SBW tasks, which require the synthesis of information from a text in response to a prompt. SBW requires mastering writing conventions and an accurate understanding of source material. We collected 27 non-expert users of ChatGPT and writers (M<jats:sub>age</jats:sub> = 20.37; SD = 2.17). We administered a sociodemographic questionnaire, an academic writing motivation scale, and a measure of perceived prior knowledge. Participants were given a source-based writing task with access to ChatGPT as external aid. They performed a retrospective think-aloud interview on ChatGPT use. Data showed limited use of ChatGPT due to limited expertise and ethical concerns. The level of integration of conflicting information showed to not be associated with the interaction with ChatGPT. However, the use of ChatGPT showed a negative association with the amount of literal source-text information that students include in their written product.</jats:p>"
Self-agreement: A Framework for Fine-Tuning Language Models to Find Agreement Among Diverse Opinions,2024,https://link.springer.com/chapter/10.1007/978-981-99-7022-3_26,10.1007/978-981-99-7022-3_26,"Shiyao Ding, Takayuki Ito",Conference paper,No abstract available for this DOI.
Unraveling the mysteries of AI chatbots,13 March 2024,/article/10.1007/s10462-024-10720-7,10.1007/s10462-024-10720-7,Raj Bridgelall,Article,"<jats:title>Abstract</jats:title><jats:p>This primer provides an overview of the rapidly evolving field of generative artificial intelligence, specifically focusing on large language models like ChatGPT (OpenAI) and Bard (Google). Large language models have demonstrated unprecedented capabilities in responding to natural language prompts. The aim of this primer is to demystify the underlying theory and architecture of large language models, providing intuitive explanations for a broader audience. Learners seeking to gain insight into the technical underpinnings of large language models must sift through rapidly growing and fragmented literature on the topic. This primer brings all the main concepts into a single digestible document. Topics covered include text tokenization, vocabulary construction, token embedding, context embedding with attention mechanisms, artificial neural networks, and objective functions in model training. The primer also explores state-of-the-art methods in training large language models to generalize on specific applications and to align with human intentions. Finally, an introduction to the concept of prompt engineering highlights the importance of effective human-machine interaction through natural language in harnessing the full potential of artificial intelligence chatbots. This comprehensive yet accessible primer will benefit students and researchers seeking foundational knowledge and a deeper understanding of the inner workings of existing and emerging artificial intelligence models. The author hopes that the primer will encourage further responsible innovation and informed discussions about these increasingly powerful tools.</jats:p>"
FIFAWC: a dataset with detailed annotation and rich semantics for group activity recognition,06 June 2024,/article/10.1007/s11704-024-40027-3,10.1007/s11704-024-40027-3,"Duoxuan Pei, Di Huang, Yunhong Wang",Article,No abstract available for this DOI.
"Artificial thinking and doomsday projections: a discourse on trust, ethics and safety",20 November 2023,/article/10.1007/s00146-023-01810-1,10.1007/s00146-023-01810-1,"Jeffrey White, Dietrich Brandt, ... Larry Stapleton",Article,No abstract available for this DOI.
"On inscription and bias: data, actor network theory, and the social problems of text-to-image AI models",21 February 2024,/article/10.1007/s43681-024-00431-8,10.1007/s43681-024-00431-8,Jorge Luis Morton,Article,No abstract available for this DOI.
Chatbots as Villains: The Antisocial Uses of AI,2024,https://link.springer.com/chapter/10.1007/978-3-031-51004-5_7,10.1007/978-3-031-51004-5_7,Robert Ciesla,Chapter,No abstract available for this DOI.
Evolution Through Large Models,2024,https://link.springer.com/chapter/10.1007/978-981-99-3814-8_11,10.1007/978-981-99-3814-8_11,"Joel Lehman, Jonathan Gordon, ... Kenneth O. Stanley",Chapter,No abstract available for this DOI.
Philosophical and Social Realm,2023,https://link.springer.com/chapter/10.1007/978-3-031-35331-4_2,10.1007/978-3-031-35331-4_2,"Boris Aberšek, Andrej Flogie, Igor Pesek",Chapter,No abstract available for this DOI.
Requirements Engineering for Cyber-Physical Products,2023,https://link.springer.com/chapter/10.1007/978-3-031-42307-9_23,10.1007/978-3-031-42307-9_23,"Thomas Fehlmann, Eberhard Kranich",Conference paper,No abstract available for this DOI.
What do academics have to say about ChatGPT? A text mining analytics on the discussions regarding ChatGPT on research writing,23 October 2023,/article/10.1007/s43681-023-00354-w,10.1007/s43681-023-00354-w,Rex Bringula,Article,No abstract available for this DOI.
How Can Natural Language Processing and Generative AI Address Grand Challenges of Quantitative User Personas?,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_14,10.1007/978-3-031-48057-7_14,"Joni Salminen, Soon-gyo Jung, ... Bernard Jansen",Conference paper,No abstract available for this DOI.
"A phenomenology and epistemology of large language models: transparency, trust, and trustworthiness",18 June 2024,/article/10.1007/s10676-024-09777-3,10.1007/s10676-024-09777-3,"Richard Heersmink, Barend de Rooij, ... Matteo Colombo",Article,"<jats:title>Abstract</jats:title><jats:p>This paper analyses the phenomenology and epistemology of chatbots such as ChatGPT and Bard. The computational architecture underpinning these chatbots are large language models (LLMs), which are generative artificial intelligence (AI) systems trained on a massive dataset of text extracted from the Web. We conceptualise these LLMs as multifunctional computational cognitive artifacts, used for various cognitive tasks such as translating, summarizing, answering questions, information-seeking, and much more. Phenomenologically, LLMs can be experienced as a “quasi-other”; when that happens, users anthropomorphise them. For most users, current LLMs are black boxes, i.e., for the most part, they lack data transparency and algorithmic transparency. They can, however, be phenomenologically and informationally transparent, in which case there is an interactional flow. Anthropomorphising and interactional flow can, in some users, create an attitude of (unwarranted) trust towards the output LLMs generate. We conclude this paper by drawing on the epistemology of trust and testimony to examine the epistemic implications of these dimensions. Whilst LLMs generally generate accurate responses, we observe two epistemic pitfalls. Ideally, users should be able to match the level of trust that they place in LLMs to the degree that LLMs are trustworthy. However, both their data and algorithmic opacity and their phenomenological and informational transparency can make it difficult for users to calibrate their trust correctly. The effects of these limitations are twofold: users may adopt unwarranted attitudes of trust towards the outputs of LLMs (which is particularly problematic when LLMs hallucinate), and the trustworthiness of LLMs may be undermined.</jats:p>"
Optimized BERT Model for Question Answering System on Mobile Platform,2024,https://link.springer.com/chapter/10.1007/978-3-031-58495-4_9,10.1007/978-3-031-58495-4_9,"Priyadarshini Patil, Chandan Rao, S. M. Meena",Conference paper,No abstract available for this DOI.
Getting it right: the limits of fine-tuning large language models,31 May 2024,/article/10.1007/s10676-024-09779-1,10.1007/s10676-024-09779-1,Jacob Browning,Article,No abstract available for this DOI.
"ChatGPT: potential, prospects, and limitations",28 February 2023,/article/10.1631/FITEE.2300089,10.1631/FITEE.2300089,"Jie Zhou, Pei Ke, ... Junping Zhang",Article,No abstract available for this DOI.
Generative AI as a Supportive Tool for Scientific Research,2024,https://link.springer.com/chapter/10.1007/978-3-031-46238-2_1,10.1007/978-3-031-46238-2_1,Abraham Itzhak Weinberg,Chapter,No abstract available for this DOI.
Application of Large Language Models to DDoS Attack Detection,2024,https://link.springer.com/chapter/10.1007/978-3-031-51630-6_6,10.1007/978-3-031-51630-6_6,"Michael Guastalla, Yiyi Li, ... Bhaskar Krishnamachari",Conference paper,No abstract available for this DOI.
Assessing and Enhancing LLMs: A Physics and History Dataset and One-More-Check Pipeline Method,2024,https://link.springer.com/chapter/10.1007/978-981-99-8178-6_38,10.1007/978-981-99-8178-6_38,"Chaofan He, Chunhui Li, ... Liping Shen",Conference paper,No abstract available for this DOI.
@llegra: a chatbot for Vallader,19 February 2024,/article/10.1007/s41870-024-01779-0,10.1007/s41870-024-01779-0,"Oliver Bendel, Dalil Jabou",Article,"<jats:title>Abstract</jats:title><jats:p>Extinct and endangered languages have been preserved primarily through audio conservation and the collection and digitization of scripts and have been promoted through targeted language acquisition efforts. Another possibility would be to build conversational agents like chatbots or voice assistants that can master these languages. This would provide an artificial, active conversational partner which has knowledge of the vocabulary and grammar and allows one to learn with it in a different way. The chatbot, @llegra, with which one can communicate in the Rhaeto-Romanic idiom Vallader was developed in 2023 based on GPT-4. It can process and output text and has voice output. It was additionally equipped with a manually created knowledge base. After laying the conceptual groundwork, this paper presents the preparation and implementation of the project. In addition, it summarizes the tests that native speakers conducted with the chatbot. A critical discussion elaborates advantages and disadvantages. @llegra could be a new tool for teaching and learning Vallader in a memorable and entertaining way through dialog. It not only masters the idiom, but also has extensive knowledge about the Lower Engadine, that is, the area where Vallader is spoken. In conclusion, it is argued that conversational agents are an innovative approach to promoting and preserving languages.</jats:p>"
Knowledge Sources,2024,https://link.springer.com/chapter/10.1007/978-981-97-0747-8_2,10.1007/978-981-97-0747-8_2,"Meng Jiang, Bill Yuchen Lin, ... Chenguang Zhu",Chapter,No abstract available for this DOI.
Computational Approaches for Traditional Chinese Painting: From the “Six Principles of Painting” Perspective,01 March 2024,/article/10.1007/s11390-024-3408-x,10.1007/s11390-024-3408-x,"Wei Zhang, Jian-Wei Zhang, ... Wei Chen",Article,No abstract available for this DOI.
"Conversational Process Modelling: State of the Art, Applications, and Implications in Practice",2023,https://link.springer.com/chapter/10.1007/978-3-031-41623-1_19,10.1007/978-3-031-41623-1_19,"Nataliia Klievtsova, Janik-Vasily Benzin, ... Stefanie Rinderle-Ma",Conference paper,No abstract available for this DOI.
Constructing a teacher portrait for the artificial intelligence age based on the micro ecological system theory: A systematic review,14 February 2024,/article/10.1007/s10639-024-12513-5,10.1007/s10639-024-12513-5,"Xiaoyong Hu, Hui Sui, ... Li Zhao",Article,No abstract available for this DOI.
Beware of sustainable AI! Uses and abuses of a worthy goal,02 February 2023,/article/10.1007/s43681-023-00259-8,10.1007/s43681-023-00259-8,"Jan-Christoph Heilinger, Hendrik Kempt, Saskia Nagel",Article,"<jats:title>Abstract</jats:title><jats:p>The ethical debate about technologies called artificial intelligence (AI) has recently turned towards the question whether and in which sense using AI can be sustainable, distinguishing possible contributions of AI to achieve the end of sustainability on the one hand from the sustainability of AI and its underlying technologies as means on the other hand. This important distinction is both applied in the context of environmental as well as social sustainability. However, further elaboration is necessary to capture the complexities of sustainability assessments in the context of AI. To this end, our analysis of the ends and means of “sustainable AI” in social and environmental contexts leads to a matrix of four dimensions reflecting its social and its environmental impact and costs. This matrix avoids overly narrow, one-dimensional assessments that too quickly label some AI-based technology as sustainable. While a selective assessment can, at best, warrant the narrower verdict of “thin” sustainability, only such a comprehensive assessment can warrant the verdict of what we call “thick” sustainability. In consequence, we recommend to broaden the normative scope in considering the ethics and justice of AI and to use the notion “sustainability” more carefully and sparingly, and to pursue the more ambitious goal of “thick” sustainability of AI-based technologies to meaningfully contribute to actual improvements of human lives and living together. Current conditions of an economy oriented towards permanent growth, however, may make it difficult or even impossible to realise sustainable AI.</jats:p>"
Automated Program Repair Using Generative Models for Code Infilling,2023,https://link.springer.com/chapter/10.1007/978-3-031-36272-9_74,10.1007/978-3-031-36272-9_74,"Charles Koutcheme, Sami Sarsa, ... Paul Denny",Conference paper,No abstract available for this DOI.
"Threats, Opportunities, and Misconceptions",2023,https://link.springer.com/chapter/10.1007/979-8-8688-0017-7_6,10.1007/979-8-8688-0017-7_6,Thimira Amaratunga,Chapter,No abstract available for this DOI.
Safeguarding human values: rethinking US law for generative AI’s societal impacts,07 May 2024,/article/10.1007/s43681-024-00451-4,10.1007/s43681-024-00451-4,"Inyoung Cheong, Aylin Caliskan, Tadayoshi Kohno",Article,"<jats:title>Abstract</jats:title><jats:p>Our interdisciplinary study examines the effectiveness of US law in addressing the complex challenges posed by generative AI systems to fundamental human values, including physical and mental well-being, privacy, autonomy, diversity, and equity. Through the analysis of diverse hypothetical scenarios developed in collaboration with experts, we identified significant shortcomings and ambiguities within the existing legal protections. Constitutional and civil rights law currently struggles to hold AI companies responsible for AI-assisted discriminatory outputs. Moreover, even without considering the liability shield provided by Section 230, existing liability laws may not effectively remedy unintentional and intangible harms caused by AI systems. Demonstrating causal links for liability claims such as defamation or product liability proves exceptionally difficult due to the intricate and opaque nature of these systems. To effectively address these unique and evolving risks posed by generative AI, we propose a “Responsible AI Legal Framework”  that adapts to recognize new threats and utilizes a multi-pronged approach. This framework would enshrine fundamental values in legal frameworks, establish comprehensive safety guidelines, and implement liability models tailored to the complexities of human-AI interactions. By proactively mitigating unforeseen harms like mental health impacts and privacy breaches, this framework aims to create a legal landscape capable of navigating the exciting yet precarious future brought forth by generative AI technologies.</jats:p>"
Support to Interaction Between Medical Practitioners and Patients: A Systematic Review,2024,https://link.springer.com/chapter/10.1007/978-3-031-56396-6_24,10.1007/978-3-031-56396-6_24,"Ezekiel Olayide Tolulope, Franklin Tchakounte",Conference paper,No abstract available for this DOI.
The impact of ChatGPT on L2 writing and expected responses: Voice from doctoral students,12 December 2023,/article/10.1007/s10639-023-12397-x,10.1007/s10639-023-12397-x,"Min Zou, Liang Huang",Article,No abstract available for this DOI.
Analyzing the Innovative Potential of Texts Generated by Large Language Models: An Empirical Evaluation,2023,https://link.springer.com/chapter/10.1007/978-3-031-39689-2_2,10.1007/978-3-031-39689-2_2,"Oliver Krauss, Michaela Jungwirth, ... Andreas Stoeckl",Conference paper,No abstract available for this DOI.
The Transformation of Business,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9367-6_7,10.1007/978-1-4842-9367-6_7,Tom Taulli,Chapter,No abstract available for this DOI.
Creating Automatic Connections for Personal Knowledge Management,08 May 2024,/article/10.1007/s42979-024-02876-4,10.1007/s42979-024-02876-4,"Felipe Poggi A. Fraga, Marcus Poggi, ... Luiz André P. Paes Leme",Article,No abstract available for this DOI.
Exploring differences in ethical decision-making processes between humans and ChatGPT-3 model: a study of trade-offs,04 September 2023,/article/10.1007/s43681-023-00335-z,10.1007/s43681-023-00335-z,"Umair Rehman, Farkhund Iqbal, Muhammad Umair Shah",Article,No abstract available for this DOI.
Interpretable Dropout Prediction: Towards XAI-Based Personalized Intervention,14 March 2023,/article/10.1007/s40593-023-00331-8,10.1007/s40593-023-00331-8,"Marcell Nagy, Roland Molontay",Article,"<jats:title>Abstract</jats:title><jats:p>Student drop-out is one of the most burning issues in STEM higher education, which induces considerable social and economic costs. Using machine learning tools for the early identification of students at risk of dropping out has gained a lot of interest recently. However, there has been little discussion on dropout prediction using interpretable machine learning (IML) and explainable artificial intelligence (XAI) tools.In this work, using the data of a large public Hungarian university, we demonstrate how IML and XAI tools can support educational stakeholders in dropout prediction. We show that complex machine learning models – such as the CatBoost classifier – can efficiently identify at-risk students relying solely on pre-enrollment achievement measures, however, they lack interpretability. Applying IML tools, such as permutation importance (PI), partial dependence plot (PDP), LIME, and SHAP values, we demonstrate how the predictions can be explained both globally and locally. Explaining individual predictions opens up great opportunities for personalized intervention, for example by offering the right remedial courses or tutoring sessions. Finally, we present the results of a user study that evaluates whether higher education stakeholders find these tools interpretable and useful.</jats:p>"
Machine learning in human creativity: status and perspectives,12 January 2024,/article/10.1007/s00146-023-01836-5,10.1007/s00146-023-01836-5,"Mirko Farina, Andrea Lavazza, ... Witold Pedrycz",Article,No abstract available for this DOI.
Student Opinion Mining About Instructor Using Optimized Ensemble Machine Learning Model and Feature Fusion,25 June 2024,/article/10.1007/s42979-024-03032-8,10.1007/s42979-024-03032-8,"Ravinder Ahuja, S. C. Sharma",Article,No abstract available for this DOI.
The Economics of Generative AI,2024,https://link.springer.com/chapter/10.1007/978-3-031-46238-2_25,10.1007/978-3-031-46238-2_25,Stanislav Ivanov,Chapter,No abstract available for this DOI.
The Future of Humans and Language Models,2023,https://link.springer.com/chapter/10.1007/978-3-031-37690-0_7,10.1007/978-3-031-37690-0_7,Mascha Kurpicz-Briki,Chapter,No abstract available for this DOI.
Conversational Systems for AI-Augmented Business Process Management,2024,https://link.springer.com/chapter/10.1007/978-3-031-59465-6_12,10.1007/978-3-031-59465-6_12,"Angelo Casciani, Mario L. Bernardi, ... Andrea Marrella",Conference paper,No abstract available for this DOI.
"Generative AI for pentesting: the good, the bad, the ugly",15 March 2024,/article/10.1007/s10207-024-00835-x,10.1007/s10207-024-00835-x,"Eric Hilario, Sami Azam, ... Bharanidharan Shanmugam",Article,"<jats:title>Abstract</jats:title><jats:p>This paper examines the role of Generative AI (GenAI) and Large Language Models (LLMs) in penetration testing exploring the benefits, challenges, and risks associated with cyber security applications. Through the use of generative artificial intelligence, penetration testing becomes more creative, test environments are customised, and continuous learning and adaptation is achieved. We examined how GenAI (ChatGPT 3.5) helps penetration testers with options and suggestions during the five stages of penetration testing. The effectiveness of the GenAI tool was tested using a publicly available vulnerable machine from VulnHub. It was amazing how quickly they responded at each stage and provided better pentesting report. In this article, we discuss potential risks, unintended consequences, and uncontrolled AI development associated with pentesting.</jats:p>"
A Software Platform for Evaluating Student Essays in Interdisciplinary Learning with Topic Classification Techniques,2023,https://link.springer.com/chapter/10.1007/978-3-031-36336-8_100,10.1007/978-3-031-36336-8_100,"Bryan Lim Cheng Yee, Chenyu Hou, ... Xiuyi Fan",Conference paper,No abstract available for this DOI.
"The imitation game, the “child machine,” and the fathers of AI",25 June 2022,/article/10.1007/s00146-022-01512-0,10.1007/s00146-022-01512-0,Teresa Heffernan,Article,No abstract available for this DOI.
Acceptance of Generative AI in the Creative Industry: Examining the Role of AI Anxiety in the UTAUT2 Model,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_18,10.1007/978-3-031-48057-7_18,"Ming Yin, Bingxu Han, ... Min Hua",Conference paper,No abstract available for this DOI.
Data cleaning and machine learning: a systematic literature review,11 June 2024,/article/10.1007/s10515-024-00453-w,10.1007/s10515-024-00453-w,"Pierre-Olivier Côté, Amin Nikanjam, ... Foutse Khomh",Article,No abstract available for this DOI.
Large Language Models in the Workplace: A Case Study on Prompt Engineering for Job Type Classification,2023,https://link.springer.com/chapter/10.1007/978-3-031-35320-8_1,10.1007/978-3-031-35320-8_1,"Benjamin Clavié, Alexandru Ciceu, ... Thomas Brightwell",Conference paper,No abstract available for this DOI.
"Prolog: Past, Present, and Future",2023,https://link.springer.com/chapter/10.1007/978-3-031-35254-6_4,10.1007/978-3-031-35254-6_4,"Gopal Gupta, Elmer Salazar, ... Manuel Carro",Chapter,No abstract available for this DOI.
Fundamentals of Natural Language Processing,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9221-1_5,10.1007/978-1-4842-9221-1_5,Krunal S. Trivedi,Chapter,No abstract available for this DOI.
From nCoder to ChatGPT: From Automated Coding to Refining Human Coding,2023,https://link.springer.com/chapter/10.1007/978-3-031-47014-1_32,10.1007/978-3-031-47014-1_32,"Andres Felipe Zambrano, Xiner Liu, ... Nidhi Nasiar",Conference paper,No abstract available for this DOI.
State of the Art of Machine Learning,2024,https://link.springer.com/chapter/10.1007/978-3-031-46990-9_7,10.1007/978-3-031-46990-9_7,Eklas Hossain,Chapter,No abstract available for this DOI.
At the intersection of humanity and technology: a technofeminist intersectional critical discourse analysis of gender and race biases in the natural language processing model GPT-3,25 November 2023,/article/10.1007/s00146-023-01804-z,10.1007/s00146-023-01804-z,"M. A. Palacios Barea, D. Boeren, J. F. Ferreira Goncalves",Article,"<jats:title>Abstract</jats:title><jats:p>Algorithmic biases, or algorithmic unfairness, have been a topic of public and scientific scrutiny for the past years, as increasing evidence suggests the pervasive assimilation of human cognitive biases and stereotypes in such systems. This research is specifically concerned with analyzing the presence of discursive biases in the text generated by GPT-3, an NLPM which has been praised in recent years for resembling human language so closely that it is becoming difficult to differentiate between the human and the algorithm. The pertinence of this research object is substantiated by the identification of race, gender and religious biases in the model’s completions in recent research, suggesting that the model is indeed heavily influenced by human cognitive biases. To this end, this research inquires: <jats:italic>How does the Natural Language Processing Model GPT-3 replicate existing social biases?.</jats:italic> This question is addressed through the scrutiny of GPT-3’s completions using Critical Discourse Analysis (CDA), a method which has been deemed as amply valuable for this research as it is aimed at uncovering power asymmetries in language. As such, the analysis is specifically centered around the analysis of gender and race biases in the model’s generated text. Research findings suggest that GPT-3’s language generation model significantly exacerbates existing social biases while replicating dangerous ideologies akin to white supremacy and hegemonic masculinity as factual knowledge.</jats:p>"
Prompting meaning: a hermeneutic approach to optimising prompt engineering with ChatGPT,04 September 2023,/article/10.1007/s00146-023-01752-8,10.1007/s00146-023-01752-8,"Leah Henrickson, Albert Meroño-Peñuela",Article,"<jats:title>Abstract</jats:title><jats:p>Recent advances in natural language generation (NLG), such as public accessibility to ChatGPT, have sparked polarised debates about the societal impact of this technology. Popular discourse tends towards either overoptimistic hype that touts the radically transformative potentials of these systems or pessimistic critique of their technical limitations and general ‘stupidity’. Surprisingly, these debates have largely overlooked the exegetical capacities of these systems, which for many users seem to be producing meaningful texts. In this paper, we take an interdisciplinary approach that combines hermeneutics—the study of meaning and interpretation—with prompt engineering—task descriptions embedded in input to NLG systems—to study the extent to which a specific NLG system, ChatGPT, produces texts of hermeneutic value. We design prompts with the goal of optimising hermeneuticity rather than mere factual accuracy, and apply them in four different use cases combining humans and ChatGPT as readers and writers. In most cases, ChatGPT produces readable texts that respond clearly to our requests. However, increasing the specificity of prompts’ task descriptions leads to texts with intensified neutrality, indicating that ChatGPT’s optimisation for factual accuracy may actually be detrimental to the hermeneuticity of its output.</jats:p>"
Prompting meaning: a hermeneutic approach to optimising prompt engineering with ChatGPT,04 September 2023,/article/10.1007/s00146-023-01752-8,10.1007/s00146-023-01752-8,"Leah Henrickson, Albert Meroño-Peñuela",Article,"<jats:title>Abstract</jats:title><jats:p>Recent advances in natural language generation (NLG), such as public accessibility to ChatGPT, have sparked polarised debates about the societal impact of this technology. Popular discourse tends towards either overoptimistic hype that touts the radically transformative potentials of these systems or pessimistic critique of their technical limitations and general ‘stupidity’. Surprisingly, these debates have largely overlooked the exegetical capacities of these systems, which for many users seem to be producing meaningful texts. In this paper, we take an interdisciplinary approach that combines hermeneutics—the study of meaning and interpretation—with prompt engineering—task descriptions embedded in input to NLG systems—to study the extent to which a specific NLG system, ChatGPT, produces texts of hermeneutic value. We design prompts with the goal of optimising hermeneuticity rather than mere factual accuracy, and apply them in four different use cases combining humans and ChatGPT as readers and writers. In most cases, ChatGPT produces readable texts that respond clearly to our requests. However, increasing the specificity of prompts’ task descriptions leads to texts with intensified neutrality, indicating that ChatGPT’s optimisation for factual accuracy may actually be detrimental to the hermeneuticity of its output.</jats:p>"
Opposing agents evolve the research: a decade of digital forensics,11 June 2024,/article/10.1007/s11042-024-19519-8,10.1007/s11042-024-19519-8,"Raghu Raman, Aditya Kumar Sahu, ... Prema Nedungadi",Article,No abstract available for this DOI.
Enhancing academic performance prediction with temporal graph networks for massive open online courses,13 April 2024,/article/10.1186/s40537-024-00918-5,10.1186/s40537-024-00918-5,"Qionghao Huang, Jili Chen",Article,"<jats:title>Abstract</jats:title><jats:p>Educational big data significantly impacts education, and Massive Open Online Courses (MOOCs), a crucial learning approach, have evolved to be more intelligent with these technologies. Deep neural networks have significantly advanced the crucial task within MOOCs, predicting student academic performance. However, most deep learning-based methods usually ignore the temporal information and interaction behaviors during the learning activities, which can effectively enhance the model’s predictive accuracy. To tackle this, we formulate the learning processes of e-learning students as dynamic temporal graphs to encode the temporal information and interaction behaviors during their studying. We propose a novel academic performance prediction model (APP-TGN) based on temporal graph neural networks. Specifically, in APP-TGN, a dynamic graph is constructed from online learning activity logs. A temporal graph network with low-high filters learns potential academic performance variations encoded in dynamic graphs. Furthermore, a global sampling module is developed to mitigate the problem of false correlations in deep learning-based models. Finally, multi-head attention is utilized for predicting academic outcomes. Extensive experiments are conducted on a well-known public dataset. The experimental results indicate that APP-TGN significantly surpasses existing methods and demonstrates excellent potential in automated feedback and personalized learning.</jats:p>"
"Chatgpt for cybersecurity: practical applications, challenges, and future directions",24 August 2023,/article/10.1007/s10586-023-04124-5,10.1007/s10586-023-04124-5,"Muna Al-Hawawreh, Ahamed Aljuhani, Yaser Jararweh",Article,No abstract available for this DOI.
Panda3D,2023,https://link.springer.com/chapter/10.1007/978-3-319-08234-9_535-1,10.1007/978-3-319-08234-9_535-1,Elif Surer,Living reference work entry,No abstract available for this DOI.
Predictive analysis visualization component in simulated data streams,14 June 2024,/article/10.1007/s10791-024-09447-4,10.1007/s10791-024-09447-4,"Adam Dudáš, Daniel Demian",Article,"<jats:title>Abstract</jats:title><jats:p>One of the most significant problems related to Big Data is their analysis with the use of various methods from the area of descriptive statistics or machine and deep learning. This process is interesting in both—static datasets containing various data sources which do not change over time, and dynamic datasets collected with the use of ambient data sources, which measure a number of attribute values over long periods. Since access to actual dynamic data systems is demanding, the focus of this work is put on the design and implementation of a framework usable in a simulation of data streams, their processing and subsequent dynamic predictive and visual analysis. The proposed system is experimentally verified in the context of a case study conducted on an environmental variable dataset, which was measured with the use of a real-life sensor network.</jats:p>"
Challenges as catalysts: how Waymo’s Open Dataset Challenges shape AI development,17 April 2024,/article/10.1007/s00146-024-01927-x,10.1007/s00146-024-01927-x,"Sam Hind, Fernando N. van der Vlist, Max Kanderske",Article,"<jats:title>Abstract</jats:title><jats:p>Artificial intelligence (AI) and machine learning (ML) are becoming increasingly significant areas of research for scholars in science and technology studies (STS) and media studies. In March 2020, Waymo, Google/Alphabet’s autonomous vehicle project, introduced the ‘Open Dataset Virtual Challenge’, an annual competition leveraging their Waymo Open Dataset. This freely accessible dataset comprises annotated autonomous vehicle data from their own Waymo vehicles. Yearly, Waymo has continued to host iterations of this challenge, inviting teams of computer scientists to tackle evolving machine learning and vision problems using Google's data and tools. This article analyses these challenges, situating them within the context of the ‘Grand Challenges’ of artificial intelligence (AI), which aimed to foster accountable and commercially viable advancements in the late 1980s. Through two exploratory workshops, we adopted a ‘technographic’ approach to examine the pivotal role of challenges in the development and political economy of AI. Serving as an organising principle for the AI innovation ecosystem, the challenge connects companies and external collaborators, driving advancements in specific machine vision domains. By exploring six key themes—interface methods, incrementalism, metrics, AI vernacular, applied domains, and competitive advantages—the article illustrates the role of these challenges in shaping AI research and development. By unpacking the dynamic interaction between data, computation, and labour, these challenges serve as catalysts propelling advancements towards self-driving technologies. The study reveals how challenges have historically and presently shaped the evolving landscape of self-driving and AI technologies.</jats:p>"
Learner Models for MOOC in a Lifelong Learning Context: A Systematic Literature Review,2021,https://link.springer.com/chapter/10.1007/978-3-030-86439-2_20,10.1007/978-3-030-86439-2_20,"Sergio Iván Ramírez Luelmo, Nour El Mawas, Jean Heutte",Conference paper,No abstract available for this DOI.
BiMuF: a bi-directional recommender system with multi-semantic filter for online recruitment,17 October 2023,/article/10.1007/s10115-023-01997-1,10.1007/s10115-023-01997-1,"Pei-Yuan Lai, Zhe-Rui Yang, ... Chang-Dong Wang",Article,No abstract available for this DOI.
The mechanisms of AI hype and its planetary and social costs,02 April 2024,/article/10.1007/s43681-024-00461-2,10.1007/s43681-024-00461-2,"Alva Markelius, Connor Wright, ... Yu-Ting Kuo",Article,"<jats:title>Abstract</jats:title><jats:p>Our global landscape of emerging technologies is increasingly affected by artificial intelligence (AI) hype, a phenomenon with significant large-scale consequences for the global AI narratives being created today. This paper aims to dissect the phenomenon of AI hype in light of its core mechanisms, drawing comparisons between the current wave and historical episodes of AI hype, concluding that the current hype is historically unmatched in terms of magnitude, scale and planetary and social costs. We identify and discuss socio-technical mechanisms fueling AI hype, including anthropomorphism, the proliferation of self-proclaimed AI “experts”, the geopolitical and private sector “fear of missing out” trends and the overuse and misappropriation of the term “AI” in emerging technologies. The second part of the paper seeks to highlight the often-overlooked costs of the current AI hype. We examine its planetary costs as the AI hype exerts tremendous pressure on finite resources and energy consumption. Additionally, we focus on the connection between AI hype and socio-economic injustices, including perpetuation of social inequalities by the huge associated redistribution of wealth and costs to human intelligence. In the conclusion, we offer insights into the implications for how to mitigate AI hype moving forward. We give recommendations of how developers, regulators, deployers and the public can navigate the relationship between AI hype, innovation, investment and scientific exploration, while addressing critical societal and environmental challenges.</jats:p>"
